id,trade_date,fixed_asset_id,asset_detail_id,beginning_amt,acquisition,depreciation,disposal,net_book_value
BF00003884,2022-06-23,FA10050,AD10050,16724.9,4.13,7.89,2.47,16718.67
BF00003885,2022-06-24,FA10050,AD10050,16718.67,12.45,6.32,0.41,16724.39
BF00003886,2022-06-27,FA10050,AD10050,16724.39,10.46,18.15,2.64,16714.06
BF00003887,2022-06-28,FA10050,AD10050,16714.06,6.16,12.73,5.53,16701.96
BF00003888,2022-06-29,FA10050,AD10050,16701.96,5.1,13.29,5.64,16688.13
BF00003889,2022-06-30,FA10050,AD10050,16688.13,11.62,9.5,0.23,16690.02
BF00003890,2022-07-01,FA10050,AD10050,16690.02,10.79,13.07,0.46,16687.28
BF00003891,2022-07-05,FA10050,AD10050,16687.28,5.68,13.31,4.47,16675.18
BF00003892,2022-07-06,FA10050,AD10050,16675.18,4.86,1.22,3.34,16675.48
BF00003893,2022-07-07,FA10050,AD10050,16675.48,0.55,4.1,1.0,16670.93
BF00003894,2022-07-08,FA10050,AD10050,16670.93,1.16,0.24,5.38,16666.47
BF00003895,2022-07-11,FA10050,AD10050,16666.47,0.77,9.39,1.45,16656.4
BF00003896,2022-07-12,FA10050,AD10050,16656.4,0.35,16.13,0.52,16640.1
BF00003897,2022-07-13,FA10050,AD10050,16640.1,2.18,11.23,5.0,16626.05
BF00003898,2022-07-14,FA10050,AD10050,16626.05,12.21,9.21,4.06,16624.99
BF00003899,2022-07-15,FA10050,AD10050,16624.99,11.37,17.06,2.63,16616.67
BF00003900,2022-07-18,FA10050,AD10050,16616.67,12.05,3.17,4.63,16620.92
BF00003901,2022-07-19,FA10050,AD10050,16620.92,8.89,1.37,6.09,16622.35
BF00003902,2022-07-20,FA10050,AD10050,16622.35,8.89,16.9,0.23,16614.11
BF00003903,2022-07-21,FA10050,AD10050,16614.11,1.77,16.63,4.19,16595.06
BF00003904,2022-07-22,FA10050,AD10050,16595.06,9.96,12.58,1.46,16590.98
BF00003905,2022-07-25,FA10050,AD10050,16590.98,3.99,4.53,3.17,16587.27
BF00003906,2022-07-26,FA10050,AD10050,16587.27,7.4,17.86,2.83,16573.98
BF00003907,2022-07-27,FA10050,AD10050,16573.98,13.6,14.1,2.6,16570.88
BF00003908,2022-07-28,FA10050,AD10050,16570.88,12.4,12.41,1.27,16569.6
BF00003909,2022-07-29,FA10050,AD10050,16569.6,3.32,4.11,5.36,16563.45
BF00003910,2022-08-01,FA10050,AD10050,16563.45,10.5,9.45,2.53,16561.97
BF00003911,2022-08-02,FA10050,AD10050,16561.97,1.48,15.15,5.92,16542.38
BF00003912,2022-08-03,FA10050,AD10050,16542.38,0.38,15.85,2.37,16524.54
BF00003913,2022-08-04,FA10050,AD10050,16524.54,0.4,10.34,5.61,16508.99
BF00003914,2022-08-05,FA10050,AD10050,16508.99,2.43,9.63,3.64,16498.15
BF00003915,2022-08-08,FA10050,AD10050,16498.15,9.9,12.85,2.58,16492.62
BF00003916,2022-08-09,FA10050,AD10050,16492.62,5.18,9.73,4.7,16483.37
BF00003917,2022-08-10,FA10050,AD10050,16483.37,0.23,7.69,5.25,16470.66
BF00003918,2022-08-11,FA10050,AD10050,16470.66,14.08,1.57,3.22,16479.95
BF00003919,2022-08-12,FA10050,AD10050,16479.95,7.6,2.32,2.84,16482.39
BF00003920,2022-08-15,FA10050,AD10050,16482.39,5.61,14.0,3.86,16470.14
BF00003921,2022-08-16,FA10050,AD10050,16470.14,7.39,0.45,3.91,16473.17
BF00003922,2022-08-17,FA10050,AD10050,16473.17,7.41,0.96,2.84,16476.78
BF00003923,2022-08-18,FA10050,AD10050,16476.78,6.7,16.66,5.06,16461.76
BF00003924,2022-08-19,FA10050,AD10050,16461.76,8.73,12.97,2.67,16454.85
BF00003925,2022-08-22,FA10050,AD10050,16454.85,12.62,0.08,3.02,16464.37
BF00003926,2022-08-23,FA10050,AD10050,16464.37,4.3,5.75,4.04,16458.88
BF00003927,2022-08-24,FA10050,AD10050,16458.88,6.94,14.06,6.59,16445.17
BF00003928,2022-08-25,FA10050,AD10050,16445.17,0.05,7.69,1.74,16435.79
BF00003929,2022-08-26,FA10050,AD10050,16435.79,12.25,8.64,1.55,16437.85
BF00003930,2022-08-29,FA10050,AD10050,16437.85,4.36,8.45,1.18,16432.58
BF00003931,2022-08-30,FA10050,AD10050,16432.58,3.87,3.72,4.6,16428.13
BF00003932,2022-08-31,FA10050,AD10050,16428.13,14.21,13.29,3.0,16426.05
BF00003933,2022-09-01,FA10050,AD10050,16426.05,8.33,1.9,2.59,16429.89
BF00003934,2022-09-02,FA10050,AD10050,16429.89,1.75,9.34,1.36,16420.94
BF00003935,2022-09-06,FA10050,AD10050,16420.94,3.78,3.13,5.95,16415.64
BF00003936,2022-09-07,FA10050,AD10050,16415.64,5.03,0.86,2.96,16416.85
BF00003937,2022-09-08,FA10050,AD10050,16416.85,14.05,2.64,4.06,16424.2
BF00003938,2022-09-09,FA10050,AD10050,16424.2,6.14,16.01,0.75,16413.58
BF00003939,2022-09-12,FA10050,AD10050,16413.58,3.28,3.24,0.72,16412.9
BF00003940,2022-09-13,FA10050,AD10050,16412.9,8.12,5.13,0.45,16415.44
BF00003941,2022-09-14,FA10050,AD10050,16415.44,5.77,2.54,2.45,16416.22
BF00003942,2022-09-15,FA10050,AD10050,16416.22,0.78,13.55,3.16,16400.29
BF00003943,2022-09-16,FA10050,AD10050,16400.29,12.27,8.21,1.63,16402.72
BF00003944,2022-09-19,FA10050,AD10050,16402.72,0.22,17.38,2.33,16383.23
BF00003945,2022-09-20,FA10050,AD10050,16383.23,12.8,12.24,0.04,16383.75
BF00003946,2022-09-21,FA10050,AD10050,16383.75,11.28,9.79,2.34,16382.9
BF00003947,2022-09-22,FA10050,AD10050,16382.9,1.08,12.1,0.8,16371.08
BF00003948,2022-09-23,FA10050,AD10050,16371.08,10.31,0.74,0.86,16379.79
BF00003949,2022-09-26,FA10050,AD10050,16379.79,10.98,17.51,0.03,16373.23
BF00003950,2022-09-27,FA10050,AD10050,16373.23,8.58,17.62,4.65,16359.54
BF00003951,2022-09-28,FA10050,AD10050,16359.54,8.23,5.09,6.22,16356.46
BF00003952,2022-09-29,FA10050,AD10050,16356.46,0.71,11.57,4.15,16341.45
BF00003953,2022-09-30,FA10050,AD10050,16341.45,0.85,3.72,0.64,16337.94
BF00003954,2022-10-03,FA10050,AD10050,16337.94,10.36,10.08,6.61,16331.61
BF00003955,2022-10-04,FA10050,AD10050,16331.61,1.5,14.2,6.51,16312.4
BF00003956,2022-10-05,FA10050,AD10050,16312.4,3.45,17.31,3.13,16295.41
BF00003957,2022-10-06,FA10050,AD10050,16295.41,7.11,6.25,0.72,16295.55
BF00003958,2022-10-07,FA10050,AD10050,16295.55,2.34,12.77,4.81,16280.31
BF00003959,2022-10-10,FA10050,AD10050,16280.31,11.25,13.2,6.42,16271.94
BF00003960,2022-10-11,FA10050,AD10050,16271.94,11.5,4.07,5.2,16274.17
BF00003961,2022-10-12,FA10050,AD10050,16274.17,12.0,11.59,4.17,16270.41
BF00003962,2022-10-13,FA10050,AD10050,16270.41,0.71,12.07,4.08,16254.97
BF00003963,2022-10-14,FA10050,AD10050,16254.97,6.1,14.07,6.53,16240.47
BF00003964,2022-10-17,FA10050,AD10050,16240.47,12.07,18.42,0.49,16233.63
BF00003965,2022-10-18,FA10050,AD10050,16233.63,5.18,0.74,1.0,16237.07
BF00003966,2022-10-19,FA10050,AD10050,16237.07,9.91,3.73,5.55,16237.7
BF00003967,2022-10-20,FA10050,AD10050,16237.7,8.4,2.67,0.97,16242.46
BF00003968,2022-10-21,FA10050,AD10050,16242.46,4.95,2.84,2.56,16242.01
BF00003969,2022-10-24,FA10050,AD10050,16242.01,3.94,8.37,1.88,16235.7
BF00003970,2022-10-25,FA10050,AD10050,16235.7,9.3,16.18,1.63,16227.19
BF00003971,2022-10-26,FA10050,AD10050,16227.19,1.9,8.27,0.17,16220.65
BF00003972,2022-10-27,FA10050,AD10050,16220.65,12.26,12.31,3.78,16216.82
BF00003973,2022-10-28,FA10050,AD10050,16216.82,8.21,6.94,2.68,16215.41
BF00003974,2022-10-31,FA10050,AD10050,16215.41,1.59,5.89,3.68,16207.43
BF00003975,2022-11-01,FA10050,AD10050,16207.43,10.02,15.37,2.03,16200.05
BF00003976,2022-11-02,FA10050,AD10050,16200.05,6.14,12.08,6.29,16187.82
BF00003977,2022-11-03,FA10050,AD10050,16187.82,2.91,6.46,3.95,16180.32
BF00003978,2022-11-04,FA10050,AD10050,16180.32,13.69,16.84,6.42,16170.75
BF00003979,2022-11-07,FA10050,AD10050,16170.75,10.25,9.18,2.34,16169.48
BF00003980,2022-11-08,FA10050,AD10050,16169.48,8.45,3.47,0.02,16174.44
BF00003981,2022-11-09,FA10050,AD10050,16174.44,12.09,8.9,5.22,16172.41
BF00003982,2022-11-10,FA10050,AD10050,16172.41,7.75,12.43,5.52,16162.21
BF00003983,2022-11-11,FA10050,AD10050,16162.21,6.29,6.76,0.39,16161.35
BF00003984,2022-11-14,FA10050,AD10050,16161.35,2.7,15.54,4.18,16144.33
BF00003985,2022-11-15,FA10050,AD10050,16144.33,2.19,9.82,4.41,16132.29
BF00003986,2022-11-16,FA10050,AD10050,16132.29,6.15,8.62,0.97,16128.85
BF00003987,2022-11-17,FA10050,AD10050,16128.85,6.5,15.82,3.69,16115.84
BF00003988,2022-11-18,FA10050,AD10050,16115.84,10.45,8.53,1.62,16116.14
BF00003989,2022-11-21,FA10050,AD10050,16116.14,6.3,7.63,0.11,16114.7
BF00003990,2022-11-22,FA10050,AD10050,16114.7,8.45,1.91,5.79,16115.45
BF00003991,2022-11-23,FA10050,AD10050,16115.45,11.86,6.68,3.28,16117.35
BF00003992,2022-11-25,FA10050,AD10050,16117.35,14.15,7.31,5.22,16118.97
BF00003993,2022-11-28,FA10050,AD10050,16118.97,4.6,3.33,4.83,16115.41
BF00003994,2022-11-29,FA10050,AD10050,16115.41,12.85,10.83,6.64,16110.79
BF00003995,2022-11-30,FA10050,AD10050,16110.79,11.48,2.65,2.92,16116.7
BF00003996,2022-12-01,FA10050,AD10050,16116.7,0.97,4.12,2.85,16110.7
BF00003997,2022-12-02,FA10050,AD10050,16110.7,4.76,10.34,1.88,16103.24
BF00003998,2022-12-05,FA10050,AD10050,16103.24,3.12,4.95,4.17,16097.24
BF00003999,2022-12-06,FA10050,AD10050,16097.24,9.47,11.78,3.25,16091.68
BF00004000,2022-12-07,FA10050,AD10050,16091.68,7.91,12.72,4.87,16082.0
BF00004001,2022-12-08,FA10050,AD10050,16082.0,7.05,5.55,2.38,16081.12
BF00004002,2022-12-09,FA10050,AD10050,16081.12,10.88,1.61,0.87,16089.52
BF00004003,2022-12-12,FA10050,AD10050,16089.52,4.75,9.02,5.76,16079.49
BF00004004,2022-12-13,FA10050,AD10050,16079.49,5.45,1.71,5.53,16077.7
BF00004005,2022-12-14,FA10050,AD10050,16077.7,12.33,9.49,2.34,16078.2
BF00004006,2022-12-15,FA10050,AD10050,16078.2,13.85,13.38,4.61,16074.06
BF00004007,2022-12-16,FA10050,AD10050,16074.06,11.06,11.43,3.29,16070.4
BF00004008,2022-12-19,FA10050,AD10050,16070.4,3.09,8.26,5.08,16060.15
BF00004009,2022-12-20,FA10050,AD10050,16060.15,1.61,17.42,2.61,16041.73
BF00004010,2022-12-21,FA10050,AD10050,16041.73,2.98,1.87,3.58,16039.26
BF00004011,2022-12-22,FA10050,AD10050,16039.26,6.02,16.21,0.39,16028.68
BF00004012,2022-12-23,FA10050,AD10050,16028.68,3.37,14.74,1.17,16016.14
BF00004013,2022-12-27,FA10050,AD10050,16016.14,12.84,7.73,5.22,16016.03
BF00004014,2022-12-28,FA10050,AD10050,16016.03,9.56,2.82,2.55,16020.22
BF00004015,2022-12-29,FA10050,AD10050,16020.22,5.94,2.87,0.23,16023.06
BF00004016,2022-12-30,FA10050,AD10050,16023.06,3.9,16.98,1.12,16008.86
BF00004017,2023-01-03,FA10050,AD10050,16008.86,5.42,4.31,2.75,16007.22
BF00004018,2023-01-04,FA10050,AD10050,16007.22,6.78,16.1,4.79,15993.11
BF00004019,2023-01-05,FA10050,AD10050,15993.11,10.17,9.27,2.43,15991.58
BF00004020,2023-01-06,FA10050,AD10050,15991.58,1.27,8.51,4.98,15979.36
BF00004021,2023-01-09,FA10050,AD10050,15979.36,12.09,11.41,5.73,15974.31
BF00004022,2023-01-10,FA10050,AD10050,15974.31,1.82,3.96,2.28,15969.89
BF00004023,2023-01-11,FA10050,AD10050,15969.89,3.74,7.89,5.34,15960.4
BF00004024,2023-01-12,FA10050,AD10050,15960.4,14.16,17.29,0.85,15956.42
BF00004025,2023-01-13,FA10050,AD10050,15956.42,2.71,4.39,2.77,15951.97
BF00004026,2023-01-17,FA10050,AD10050,15951.97,1.44,16.98,0.65,15935.78
BF00004027,2023-01-18,FA10050,AD10050,15935.78,9.1,18.31,0.35,15926.22
BF00004028,2023-01-19,FA10050,AD10050,15926.22,5.6,0.96,0.43,15930.43
BF00004029,2023-01-20,FA10050,AD10050,15930.43,1.31,9.79,0.7,15921.25
BF00004030,2023-01-23,FA10050,AD10050,15921.25,0.05,3.17,5.58,15912.55
BF00004031,2023-01-24,FA10050,AD10050,15912.55,1.13,11.45,3.63,15898.6
BF00004032,2023-01-25,FA10050,AD10050,15898.6,7.45,18.23,6.33,15881.49
BF00004033,2023-01-26,FA10050,AD10050,15881.49,3.29,16.52,3.59,15864.67
BF00004034,2023-01-27,FA10050,AD10050,15864.67,11.08,17.04,4.2,15854.51
BF00004035,2023-01-30,FA10050,AD10050,15854.51,12.22,3.93,1.23,15861.57
BF00004036,2023-01-31,FA10050,AD10050,15861.57,2.06,9.99,3.61,15850.03
BF00004037,2023-02-01,FA10050,AD10050,15850.03,4.8,4.33,2.57,15847.93
BF00004038,2023-02-02,FA10050,AD10050,15847.93,2.09,16.57,6.22,15827.23
BF00004039,2023-02-03,FA10050,AD10050,15827.23,4.08,3.52,6.24,15821.55
BF00004040,2023-02-06,FA10050,AD10050,15821.55,3.41,2.84,1.33,15820.79
BF00004041,2023-02-07,FA10050,AD10050,15820.79,11.21,0.22,4.14,15827.64
BF00004042,2023-02-08,FA10050,AD10050,15827.64,4.92,3.35,4.26,15824.95
BF00004043,2023-02-09,FA10050,AD10050,15824.95,7.06,3.5,3.76,15824.75
BF00004044,2023-02-10,FA10050,AD10050,15824.75,9.6,1.43,0.83,15832.09
BF00004045,2023-02-13,FA10050,AD10050,15832.09,11.72,15.98,4.37,15823.46
BF00004046,2023-02-14,FA10050,AD10050,15823.46,4.29,14.37,5.34,15808.04
BF00004047,2023-02-15,FA10050,AD10050,15808.04,2.98,4.69,2.31,15804.02
BF00004048,2023-02-16,FA10050,AD10050,15804.02,13.94,14.43,3.44,15800.09
BF00004049,2023-02-17,FA10050,AD10050,15800.09,4.56,7.78,0.78,15796.09
BF00004050,2023-02-21,FA10050,AD10050,15796.09,9.56,14.29,6.21,15785.15
BF00004051,2023-02-22,FA10050,AD10050,15785.15,9.66,5.95,0.73,15788.13
BF00004052,2023-02-23,FA10050,AD10050,15788.13,7.32,10.4,1.39,15783.66
BF00004053,2023-02-24,FA10050,AD10050,15783.66,3.25,7.03,1.99,15777.89
BF00004054,2023-02-27,FA10050,AD10050,15777.89,2.02,3.46,5.51,15770.94
BF00004055,2023-02-28,FA10050,AD10050,15770.94,6.94,10.79,4.68,15762.41
BF00004056,2023-03-01,FA10050,AD10050,15762.41,7.28,13.83,0.05,15755.81
BF00004057,2023-03-02,FA10050,AD10050,15755.81,11.02,13.87,1.23,15751.73
BF00004058,2023-03-03,FA10050,AD10050,15751.73,10.11,6.56,5.01,15750.27
BF00004059,2023-03-06,FA10050,AD10050,15750.27,12.99,9.56,2.7,15751.0
BF00004060,2023-03-07,FA10050,AD10050,15751.0,13.83,14.07,0.18,15750.58
BF00004061,2023-03-08,FA10050,AD10050,15750.58,10.37,1.0,6.44,15753.51
BF00004062,2023-03-09,FA10050,AD10050,15753.51,1.09,1.32,1.01,15752.27
BF00004063,2023-03-10,FA10050,AD10050,15752.27,5.77,6.93,3.41,15747.7
BF00004064,2023-03-13,FA10050,AD10050,15747.7,8.67,4.12,1.66,15750.59
BF00004065,2023-03-14,FA10050,AD10050,15750.59,8.41,6.9,4.92,15747.18
BF00004066,2023-03-15,FA10050,AD10050,15747.18,2.59,1.73,5.19,15742.85
BF00004067,2023-03-16,FA10050,AD10050,15742.85,8.31,10.91,2.65,15737.6
BF00004068,2023-03-17,FA10050,AD10050,15737.6,4.98,12.37,4.4,15725.81
BF00004069,2023-03-20,FA10050,AD10050,15725.81,4.83,14.59,6.07,15709.98
BF00004070,2023-03-21,FA10050,AD10050,15709.98,11.88,11.98,5.44,15704.44
BF00004071,2023-03-22,FA10050,AD10050,15704.44,6.01,7.3,2.77,15700.38
BF00004072,2023-03-23,FA10050,AD10050,15700.38,7.51,17.22,2.95,15687.72
BF00004073,2023-03-24,FA10050,AD10050,15687.72,8.02,13.38,5.92,15676.44
BF00004074,2023-03-27,FA10050,AD10050,15676.44,8.02,9.72,0.23,15674.51
BF00004075,2023-03-28,FA10050,AD10050,15674.51,3.04,3.81,0.15,15673.59
BF00004076,2023-03-29,FA10050,AD10050,15673.59,8.54,11.95,1.37,15668.81
BF00004077,2023-03-30,FA10050,AD10050,15668.81,4.77,10.9,5.53,15657.15
BF00004078,2023-03-31,FA10050,AD10050,15657.15,9.33,12.59,1.02,15652.87
BF00004079,2023-04-03,FA10050,AD10050,15652.87,2.08,14.39,1.9,15638.66
BF00004080,2023-04-04,FA10050,AD10050,15638.66,14.16,16.86,4.2,15631.76
BF00004081,2023-04-05,FA10050,AD10050,15631.76,11.0,17.48,1.23,15624.05
BF00004082,2023-04-06,FA10050,AD10050,15624.05,5.94,11.61,2.02,15616.36
BF00004083,2023-04-10,FA10050,AD10050,15616.36,4.29,17.79,3.12,15599.74
BF00004084,2023-04-11,FA10050,AD10050,15599.74,5.53,16.79,1.52,15586.96
BF00004085,2023-04-12,FA10050,AD10050,15586.96,10.28,0.05,6.63,15590.56
BF00004086,2023-04-13,FA10050,AD10050,15590.56,9.34,11.75,1.09,15587.06
BF00004087,2023-04-14,FA10050,AD10050,15587.06,10.0,3.29,5.68,15588.09
BF00004088,2023-04-17,FA10050,AD10050,15588.09,12.67,5.44,3.14,15592.18
BF00004089,2023-04-18,FA10050,AD10050,15592.18,6.5,5.48,0.86,15592.34
BF00004090,2023-04-19,FA10050,AD10050,15592.34,9.54,8.9,0.79,15592.19
BF00004091,2023-04-20,FA10050,AD10050,15592.19,6.29,0.2,3.34,15594.94
BF00004092,2023-04-21,FA10050,AD10050,15594.94,9.09,4.34,2.36,15597.33
BF00004093,2023-04-24,FA10050,AD10050,15597.33,6.77,0.54,1.57,15601.99
BF00004094,2023-04-25,FA10050,AD10050,15601.99,11.07,11.98,6.4,15594.68
BF00004095,2023-04-26,FA10050,AD10050,15594.68,0.07,16.38,3.09,15575.28
BF00004096,2023-04-27,FA10050,AD10050,15575.28,3.07,18.38,6.2,15553.77
BF00004097,2023-04-28,FA10050,AD10050,15553.77,4.22,8.26,1.1,15548.63
BF00004098,2023-05-01,FA10050,AD10050,15548.63,13.47,4.79,1.23,15556.08
BF00004099,2023-05-02,FA10050,AD10050,15556.08,7.22,15.71,3.98,15543.61
BF00004100,2023-05-03,FA10050,AD10050,15543.61,5.19,2.08,1.8,15544.92
BF00004101,2023-05-04,FA10050,AD10050,15544.92,5.76,17.95,1.23,15531.5
BF00004102,2023-05-05,FA10050,AD10050,15531.5,6.44,13.17,0.63,15524.14
BF00004103,2023-05-08,FA10050,AD10050,15524.14,12.36,9.28,0.51,15526.71
BF00004104,2023-05-09,FA10050,AD10050,15526.71,13.71,1.78,5.03,15533.61
BF00004105,2023-05-10,FA10050,AD10050,15533.61,12.03,0.34,1.88,15543.42
BF00004106,2023-05-11,FA10050,AD10050,15543.42,11.99,10.03,6.53,15538.85
BF00004107,2023-05-12,FA10050,AD10050,15538.85,2.84,7.62,1.22,15532.85
BF00004108,2023-05-15,FA10050,AD10050,15532.85,3.83,15.52,2.37,15518.79
BF00004109,2023-05-16,FA10050,AD10050,15518.79,8.49,11.83,2.5,15512.95
BF00004110,2023-05-17,FA10050,AD10050,15512.95,9.35,7.96,3.34,15511.0
BF00004111,2023-05-18,FA10050,AD10050,15511.0,2.89,4.16,5.81,15503.92
BF00004112,2023-05-19,FA10050,AD10050,15503.92,10.63,8.85,5.57,15500.13
BF00004113,2023-05-22,FA10050,AD10050,15500.13,2.85,3.0,0.07,15499.91
BF00004114,2023-05-23,FA10050,AD10050,15499.91,3.75,12.29,2.73,15488.64
BF00004115,2023-05-24,FA10050,AD10050,15488.64,4.37,11.16,5.53,15476.32
BF00004116,2023-05-25,FA10050,AD10050,15476.32,12.05,14.92,0.0,15473.45
BF00004117,2023-05-26,FA10050,AD10050,15473.45,10.43,8.28,3.56,15472.04
BF00004118,2023-05-30,FA10050,AD10050,15472.04,7.56,5.13,1.73,15472.74
BF00004119,2023-05-31,FA10050,AD10050,15472.74,11.68,15.41,2.76,15466.25
BF00004120,2023-06-01,FA10050,AD10050,15466.25,11.58,12.73,2.81,15462.29
BF00004121,2023-06-02,FA10050,AD10050,15462.29,5.55,13.02,2.62,15452.2
BF00004122,2023-06-05,FA10050,AD10050,15452.2,11.13,9.73,5.96,15447.64
BF00004123,2023-06-06,FA10050,AD10050,15447.64,2.94,16.14,3.58,15430.86
BF00004124,2023-06-07,FA10050,AD10050,15430.86,7.17,4.2,6.03,15427.8
BF00004125,2023-06-08,FA10050,AD10050,15427.8,1.68,7.4,4.85,15417.23
BF00004126,2023-06-09,FA10050,AD10050,15417.23,6.08,14.67,2.34,15406.3
BF00004127,2023-06-12,FA10050,AD10050,15406.3,7.41,2.45,3.3,15407.96
BF00004128,2023-06-13,FA10050,AD10050,15407.96,1.14,14.89,2.6,15391.61
BF00004129,2023-06-14,FA10050,AD10050,15391.61,6.59,6.5,5.53,15386.17
BF00004130,2023-06-15,FA10050,AD10050,15386.17,9.28,2.31,1.25,15391.89
BF00004131,2023-06-16,FA10050,AD10050,15391.89,8.75,1.46,6.25,15392.93
BF00004132,2023-06-20,FA10050,AD10050,15392.93,0.77,15.53,3.88,15374.29
BF00004133,2023-06-21,FA10050,AD10050,15374.29,1.36,14.34,4.09,15357.22
BF00004134,2023-06-22,FA10050,AD10050,15357.22,5.01,5.31,3.45,15353.47
BF00004135,2023-06-23,FA10050,AD10050,15353.47,12.01,2.14,3.7,15359.64
BF00004136,2023-06-26,FA10050,AD10050,15359.64,12.39,4.55,4.46,15363.02
BF00004137,2023-06-27,FA10050,AD10050,15363.02,4.41,3.92,4.37,15359.14
BF00004138,2023-06-28,FA10050,AD10050,15359.14,10.24,13.5,1.43,15354.45
BF00004139,2023-06-29,FA10050,AD10050,15354.45,8.23,3.97,3.89,15354.82
BF00004140,2023-06-30,FA10050,AD10050,15354.82,14.01,3.98,2.37,15362.48
BF00004141,2023-07-03,FA10050,AD10050,15362.48,1.35,0.59,4.25,15358.99
BF00004142,2023-07-05,FA10050,AD10050,15358.99,7.81,10.99,3.66,15352.15
BF00004143,2023-07-06,FA10050,AD10050,15352.15,8.44,12.69,1.2,15346.7
BF00004144,2023-07-07,FA10050,AD10050,15346.7,4.38,12.04,4.91,15334.13
BF00004145,2023-07-10,FA10050,AD10050,15334.13,0.67,10.47,3.05,15321.28
BF00004146,2023-07-11,FA10050,AD10050,15321.28,0.74,17.8,3.68,15300.54
BF00004147,2023-07-12,FA10050,AD10050,15300.54,6.46,8.71,4.49,15293.8
BF00004148,2023-07-13,FA10050,AD10050,15293.8,9.87,15.84,4.36,15283.47
BF00004149,2023-07-14,FA10050,AD10050,15283.47,9.98,11.9,5.0,15276.55
BF00004150,2023-07-17,FA10050,AD10050,15276.55,2.58,1.55,1.38,15276.2
BF00004151,2023-07-18,FA10050,AD10050,15276.2,12.22,14.92,0.74,15272.76
BF00004152,2023-07-19,FA10050,AD10050,15272.76,5.37,10.76,4.47,15262.9
BF00004153,2023-07-20,FA10050,AD10050,15262.9,13.74,12.04,1.58,15263.02
BF00004154,2023-07-21,FA10050,AD10050,15263.02,1.68,3.32,0.77,15260.61
BF00004155,2023-07-24,FA10050,AD10050,15260.61,11.92,8.06,0.88,15263.59
BF00004156,2023-07-25,FA10050,AD10050,15263.59,12.94,16.22,2.09,15258.22
BF00004157,2023-07-26,FA10050,AD10050,15258.22,11.72,3.97,6.62,15259.35
BF00004158,2023-07-27,FA10050,AD10050,15259.35,11.52,0.0,1.05,15269.82
BF00004159,2023-07-28,FA10050,AD10050,15269.82,5.15,4.74,1.99,15268.24
BF00004160,2023-07-31,FA10050,AD10050,15268.24,10.16,8.98,6.15,15263.27
BF00004161,2023-08-01,FA10050,AD10050,15263.27,8.25,15.13,6.43,15249.96
BF00004162,2023-08-02,FA10050,AD10050,15249.96,6.05,11.85,1.53,15242.63
BF00004163,2023-08-03,FA10050,AD10050,15242.63,14.15,16.93,5.88,15233.97
BF00004164,2023-08-04,FA10050,AD10050,15233.97,4.14,8.39,0.93,15228.79
BF00004165,2023-08-07,FA10050,AD10050,15228.79,5.89,7.2,5.09,15222.39
BF00004166,2023-08-08,FA10050,AD10050,15222.39,12.86,4.26,0.09,15230.9
BF00004167,2023-08-09,FA10050,AD10050,15230.9,4.12,4.02,2.72,15228.28
BF00004168,2023-08-10,FA10050,AD10050,15228.28,2.18,13.56,1.65,15215.25
BF00004169,2023-08-11,FA10050,AD10050,15215.25,4.42,1.48,4.7,15213.49
BF00004170,2023-08-14,FA10050,AD10050,15213.49,10.82,4.47,0.11,15219.73
BF00004171,2023-08-15,FA10050,AD10050,15219.73,12.25,16.32,3.1,15212.56
BF00004172,2023-08-16,FA10050,AD10050,15212.56,1.63,10.63,4.65,15198.91
BF00004173,2023-08-17,FA10050,AD10050,15198.91,8.86,0.86,0.31,15206.6
BF00004174,2023-08-18,FA10050,AD10050,15206.6,8.08,12.97,5.99,15195.72
BF00004175,2023-08-21,FA10050,AD10050,15195.72,9.53,9.33,2.41,15193.51
BF00004176,2023-08-22,FA10050,AD10050,15193.51,9.56,15.74,1.1,15186.23
BF00004177,2023-08-23,FA10050,AD10050,15186.23,13.67,12.57,1.51,15185.82
BF00004178,2023-08-24,FA10050,AD10050,15185.82,4.94,0.08,2.26,15188.42
BF00004179,2023-08-25,FA10050,AD10050,15188.42,4.27,3.79,1.32,15187.58
BF00004180,2023-08-28,FA10050,AD10050,15187.58,8.28,4.75,3.41,15187.7
BF00004181,2023-08-29,FA10050,AD10050,15187.7,6.12,12.94,4.23,15176.65
BF00004182,2023-08-30,FA10050,AD10050,15176.65,6.75,9.38,2.89,15171.13
BF00004183,2023-08-31,FA10050,AD10050,15171.13,0.99,13.77,2.85,15155.5
BF00004184,2023-09-01,FA10050,AD10050,15155.5,2.11,9.45,5.22,15142.94
BF00004185,2023-09-05,FA10050,AD10050,15142.94,13.33,6.03,2.01,15148.23
BF00004186,2023-09-06,FA10050,AD10050,15148.23,0.97,1.91,4.16,15143.13
BF00004187,2023-09-07,FA10050,AD10050,15143.13,8.41,3.73,5.96,15141.85
BF00004188,2023-09-08,FA10050,AD10050,15141.85,10.75,7.38,1.48,15143.74
BF00004189,2023-09-11,FA10050,AD10050,15143.74,0.17,10.16,4.14,15129.61
BF00004190,2023-09-12,FA10050,AD10050,15129.61,3.17,17.29,6.33,15109.16
BF00004191,2023-09-13,FA10050,AD10050,15109.16,5.37,4.42,3.54,15106.57
BF00004192,2023-09-14,FA10050,AD10050,15106.57,7.22,12.27,6.52,15095.0
